dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,raw_hgb_text_byte_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,success,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url,stdout_path,stderr_path,export_dir,selection_source,rep_selection_confidence,uses_test_for_selection,eligible_for_decision,source_method
DBLP,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,0.511910701649485,0.487925331883467,0.5664075870532547,0.511910701649485,3,1,0.870775,0.0,0.867442,0.0,0.860082,0.856201,,,,True,True,True,True,True,True,True,,,647bad335b94dab46873a6699551fdc1357fc6eb7333a91a1d1c3f5ef03cc314,63f2ac1c75906fb2952e380d523a04669a7147dbdc6da1897f09145eba40fabc,outputs\gate21_17_smoke\exports\DBLP\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\DBLP\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Herding-HG-TP_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Herding-HG-TP_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\DBLP\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\DBLP,,,,,
DBLP,FreeHGC-score-TP,external_tp_baseline,structural_storage_ratio,0.2,0.48523595039340783,0.43849395133886093,0.11327567350959653,0.48523595039340783,3,1,0.780282,0.0,0.775069,0.0,0.802469,0.796887,,,,True,True,True,True,True,True,True,,,babd368aebf30b77ce8c28332b72719655c28e856fdbf0ef064a7267c425264b,0a9de59a99ccdcd6d36911a33fe81a00cf8b1853c6399c37b40a0893aeb0eddb,outputs\gate21_17_smoke\exports\DBLP\1\FreeHGC_score_TP\structural_storage_ratio_0p2\official_trainval\DBLP\gate21_17_export_manifest.json,https://github.com/GooLiang/FreeHGC,outputs\gate21_17_smoke\training_logs\stdout\DBLP_FreeHGC-score-TP_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_FreeHGC-score-TP_structural_storage_ratio_0p2_g1_t1.stderr,outputs\gate21_17_smoke\exports\DBLP\1\FreeHGC_score_TP\structural_storage_ratio_0p2\official_trainval\DBLP,,,,,
ACM,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,1.0,1.0,1.0,1.0,3,1,0.9395659999999999,0.0,0.9402370000000001,0.0,0.966851,0.967076,,,,True,True,True,True,True,True,True,,,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,a2c98a7f273fe8cd25bc1b386d985c69e9b810e3f79fb7f3e3459c532ccaa4b0,outputs\gate21_17_smoke\exports\ACM\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\ACM\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\ACM_Herding-HG-TP_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_Herding-HG-TP_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\ACM\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\ACM,,,,,
IMDB,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,1.0,1.0,1.0,1.0,3,1,0.6993510000000001,0.0,0.67012,0.0,0.6915,0.666839,,,,True,True,True,True,True,True,True,,,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,218a69cfb278b2937f34f540a58abf805b7dccbba64e94769017c56965349821,outputs\gate21_17_smoke\exports\IMDB\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\IMDB\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\training_logs\stdout\IMDB_Herding-HG-TP_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_Herding-HG-TP_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\IMDB\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\IMDB,,,,,
DBLP,HGCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,0.5118805814025809,0.4876081736214943,0.5661654825810006,0.5118805814025809,,1,0.874296,0.0,0.8713219999999999,0.0,0.860082,0.855651,,,,True,True,True,True,True,True,True,,,bff7996ff505279aa56ae1a4709f2af52c4453c5c996275b5353ba3902436ceb,7a61f116740ff764184ab974cbd661a1ab5353e0ecac0377cce9900e3afbdfac,outputs\gate21_17_smoke\exports\DBLP\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\DBLP\gate21_17_export_manifest.json,https://github.com/jianjianGJ/hgcond,outputs\gate21_17_smoke\training_logs\stdout\DBLP_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\DBLP\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\DBLP,,,,,
DBLP,GCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,0.5119158908771333,0.4880612568528839,0.5662406184517002,0.5119158908771333,,1,0.867254,0.0,0.8634350000000001,0.0,0.868313,0.863812,,,,True,True,True,True,True,True,True,,,ebba02c3d3ce335a4a4b400b9e226772fbf1d6aff2ec12c165984cde86cc9cc2,60b8572ff30147b41009a879d7099b86bbf5b1217eaea1cee9d3fdcb015e87a3,outputs\gate21_17_smoke\exports\DBLP\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\DBLP\gate21_17_export_manifest.json,https://github.com/ChandlerBang/GCond,outputs\gate21_17_smoke\training_logs\stdout\DBLP_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\DBLP\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\DBLP,,,,,
ACM,HGCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,1.0,1.0,1.0,1.0,,1,0.9395659999999999,0.0,0.9402370000000001,0.0,0.966851,0.967076,,,,True,True,True,True,True,True,True,,,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,14cb3f25b8b35d7faffe35d9dc2ab49a48df7a7c7fecabb71a9bab3dd946e857,outputs\gate21_17_smoke\exports\ACM\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\ACM\gate21_17_export_manifest.json,https://github.com/jianjianGJ/hgcond,outputs\gate21_17_smoke\training_logs\stdout\ACM_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\ACM\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\ACM,,,,,
ACM,GCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,1.0,1.0,1.0,1.0,,1,0.9395659999999999,0.0,0.9402370000000001,0.0,0.966851,0.967076,,,,True,True,True,True,True,True,True,,,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,9d50b7f0c4471e682fa7af537f70f8ae58598367938b090e09e033eaed3f4153,outputs\gate21_17_smoke\exports\ACM\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\ACM\gate21_17_export_manifest.json,https://github.com/ChandlerBang/GCond,outputs\gate21_17_smoke\training_logs\stdout\ACM_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\ACM_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\ACM\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\ACM,,,,,
IMDB,HGCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,1.0,1.0,1.0,1.0,,1,0.6993510000000001,0.0,0.67012,0.0,0.6915,0.666839,,,,True,True,True,True,True,True,True,,,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,c81c799016ae6aae8f4df9a6a4d693be49186640e0c87927be2041b788c516a3,outputs\gate21_17_smoke\exports\IMDB\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\IMDB\gate21_17_export_manifest.json,https://github.com/jianjianGJ/hgcond,outputs\gate21_17_smoke\training_logs\stdout\IMDB_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\IMDB\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\IMDB,,,,,
IMDB,GCond-score-TP-local,condensation_score_tp_proxy,support_node_ratio,0.5,1.0,1.0,1.0,1.0,,1,0.6993510000000001,0.0,0.67012,0.0,0.6915,0.666839,,,,True,True,True,True,True,True,True,,,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,f04e37ec1beb74a12ee4dc9c7c2c92d567264ac61a97831a881d44a24c5e0f2f,outputs\gate21_17_smoke\exports\IMDB\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\IMDB\gate21_17_export_manifest.json,https://github.com/ChandlerBang/GCond,outputs\gate21_17_smoke\training_logs\stdout\IMDB_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\IMDB_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,outputs\gate21_17_smoke\exports\IMDB\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\IMDB,,,,,
DBLP,HeSF-RCS-Rep,schema_preserving_rcs,structural_storage_ratio,0.12,0.11951718894668302,0.30003171582619725,0.08797575615905429,0.5300203883188904,,,0.9447888000000001,,0.9405382,,,,0.953770196,,,True,True,True,True,True,True,True,,,240529d8a23de77b2e84e2982b97536b1afd41eb1648bc112ccbca988d736476,e1573e8488ad75bf47007b991bb6325033ffcdda25001aa4e662dbadf0b58630,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,,,,,validation_proxy,proxy_only,False,True,HeSF-RCS-auto structural12
ACM,HeSF-RCS-Rep,schema_preserving_rcs,structural_storage_ratio,0.2,1.0,1.0,1.0,1.0,,,0.9395659999999999,,0.9402370000000001,,0.966851,0.967076,0.93,,,True,True,True,True,True,True,True,,,4744248dc42a722defc8e50db9247117f2f44d7290b6c29f59a6ffe250cf944f,593b2e1af3041bd6f80a44b5d83f8327ff740b591f0405382e44e28b3b40cba5,outputs\gate21_17_smoke\exports\ACM\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\ACM\gate21_17_export_manifest.json,,,,,actual_validation,actual_validation,False,True,HeSF-RCS-auto structural20
IMDB,HeSF-RCS-Rep,schema_preserving_rcs,structural_storage_ratio,0.2,1.0,1.0,1.0,1.0,,,0.6993510000000001,,0.67012,,0.6915,0.666839,0.93,,,True,True,True,True,True,True,True,,,ee417344ed4486b65c416c12a0ca8848fda3b99f90d372df61fcbe0f881cba3c,940bb678e401aa999e22ad5712e0a3c6d4b10e9fac736beb0093c41d1c98ad6e,outputs\gate21_17_smoke\exports\IMDB\1\HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\IMDB\gate21_17_export_manifest.json,,,,,actual_validation,actual_validation,False,True,HeSF-RCS-auto structural20
