dataset,method,graph_seed,training_seed,export_hash,cache_namespace,cache_reused_flag,force_reprocess_flag,metapath_key,relation_sequence,input_relation_ids,input_relation_names,feature_tensor_shape,feature_tensor_nonzero_count,feature_tensor_density,feature_tensor_bytes,feature_tensor_hash,label_feature_key,label_feature_shape,label_feature_nonzero_count,label_feature_bytes,label_feature_hash,cache_file_path,cache_file_bytes,introspection_supported,introspection_failure_reason,fallback_loaded_relation_audit_used
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,1,ce6215747a238466a7e1552f6081a81422e1fe5359053cd49adb8a7e02e1bbda,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA00-PV75-VP00-PTTP00\graph_seed_1\training_seed_1\export_hash_ce6215747a23\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,2,ce6215747a238466a7e1552f6081a81422e1fe5359053cd49adb8a7e02e1bbda,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA00-PV75-VP00-PTTP00\graph_seed_1\training_seed_2\export_hash_ce6215747a23\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,3,ce6215747a238466a7e1552f6081a81422e1fe5359053cd49adb8a7e02e1bbda,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA00-PV75-VP00-PTTP00\graph_seed_1\training_seed_3\export_hash_ce6215747a23\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,4,ce6215747a238466a7e1552f6081a81422e1fe5359053cd49adb8a7e02e1bbda,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA00-PV75-VP00-PTTP00\graph_seed_1\training_seed_4\export_hash_ce6215747a23\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,5,ce6215747a238466a7e1552f6081a81422e1fe5359053cd49adb8a7e02e1bbda,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-dirskel-AP100-PA00-PV75-VP00-PTTP00\graph_seed_1\training_seed_5\export_hash_ce6215747a23\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-APV-skeleton,1,1,96e362caa41c08761676ba60a29c170e649218a7680a4c29e74d5e79297f77ad,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-APV-skeleton\graph_seed_1\training_seed_1\export_hash_96e362caa41c\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-APV-skeleton,1,2,96e362caa41c08761676ba60a29c170e649218a7680a4c29e74d5e79297f77ad,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-APV-skeleton\graph_seed_1\training_seed_2\export_hash_96e362caa41c\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-APV-skeleton,1,3,96e362caa41c08761676ba60a29c170e649218a7680a4c29e74d5e79297f77ad,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-APV-skeleton\graph_seed_1\training_seed_3\export_hash_96e362caa41c\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-APV-skeleton,1,4,96e362caa41c08761676ba60a29c170e649218a7680a4c29e74d5e79297f77ad,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-APV-skeleton\graph_seed_1\training_seed_4\export_hash_96e362caa41c\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-APV-skeleton,1,5,96e362caa41c08761676ba60a29c170e649218a7680a4c29e74d5e79297f77ad,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\cache\DBLP\H6-APV-skeleton\graph_seed_1\training_seed_5\export_hash_96e362caa41c\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,1,1,75a05d26f30ce8c2553fcdad52f04c525c26b1c9b406fc417f7292bf3c2f0545,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_1\training_seed_1\export_hash_75a05d26f30c\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,1,2,75a05d26f30ce8c2553fcdad52f04c525c26b1c9b406fc417f7292bf3c2f0545,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_1\training_seed_2\export_hash_75a05d26f30c\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,1,3,75a05d26f30ce8c2553fcdad52f04c525c26b1c9b406fc417f7292bf3c2f0545,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_1\training_seed_3\export_hash_75a05d26f30c\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,1,4,75a05d26f30ce8c2553fcdad52f04c525c26b1c9b406fc417f7292bf3c2f0545,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_1\training_seed_4\export_hash_75a05d26f30c\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,1,5,75a05d26f30ce8c2553fcdad52f04c525c26b1c9b406fc417f7292bf3c2f0545,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_1\training_seed_5\export_hash_75a05d26f30c\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,2,1,5691b2d6498a1b68454147d2be0f23029293ab1a9f7f8c622e288eedec927080,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_2\training_seed_1\export_hash_5691b2d6498a\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,2,2,5691b2d6498a1b68454147d2be0f23029293ab1a9f7f8c622e288eedec927080,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_2\training_seed_2\export_hash_5691b2d6498a\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,2,3,5691b2d6498a1b68454147d2be0f23029293ab1a9f7f8c622e288eedec927080,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_2\training_seed_3\export_hash_5691b2d6498a\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,2,4,5691b2d6498a1b68454147d2be0f23029293ab1a9f7f8c622e288eedec927080,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_2\training_seed_4\export_hash_5691b2d6498a\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,2,5,5691b2d6498a1b68454147d2be0f23029293ab1a9f7f8c622e288eedec927080,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_2\training_seed_5\export_hash_5691b2d6498a\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,3,1,699e543ae498fbde4e75df05ae4641d65dc86bfdf48652e554190df260eb3c5a,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_3\training_seed_1\export_hash_699e543ae498\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,3,2,699e543ae498fbde4e75df05ae4641d65dc86bfdf48652e554190df260eb3c5a,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_3\training_seed_2\export_hash_699e543ae498\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,3,3,699e543ae498fbde4e75df05ae4641d65dc86bfdf48652e554190df260eb3c5a,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_3\training_seed_3\export_hash_699e543ae498\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,3,4,699e543ae498fbde4e75df05ae4641d65dc86bfdf48652e554190df260eb3c5a,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_3\training_seed_4\export_hash_699e543ae498\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,3,5,699e543ae498fbde4e75df05ae4641d65dc86bfdf48652e554190df260eb3c5a,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_3\training_seed_5\export_hash_699e543ae498\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,4,1,f370d4a97e752472c1e9b52bb1389e6fd974bfcb3536b633b1a79c1048f77eb5,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_4\training_seed_1\export_hash_f370d4a97e75\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,4,2,f370d4a97e752472c1e9b52bb1389e6fd974bfcb3536b633b1a79c1048f77eb5,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_4\training_seed_2\export_hash_f370d4a97e75\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,4,3,f370d4a97e752472c1e9b52bb1389e6fd974bfcb3536b633b1a79c1048f77eb5,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_4\training_seed_3\export_hash_f370d4a97e75\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,4,4,f370d4a97e752472c1e9b52bb1389e6fd974bfcb3536b633b1a79c1048f77eb5,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_4\training_seed_4\export_hash_f370d4a97e75\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,4,5,f370d4a97e752472c1e9b52bb1389e6fd974bfcb3536b633b1a79c1048f77eb5,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_4\training_seed_5\export_hash_f370d4a97e75\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,5,1,b4f5d62fc2115183888fb034dee36b18b260781f288959ecf60c346dd57b1c3a,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_5\training_seed_1\export_hash_b4f5d62fc211\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,5,2,b4f5d62fc2115183888fb034dee36b18b260781f288959ecf60c346dd57b1c3a,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_5\training_seed_2\export_hash_b4f5d62fc211\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,5,3,b4f5d62fc2115183888fb034dee36b18b260781f288959ecf60c346dd57b1c3a,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_5\training_seed_3\export_hash_b4f5d62fc211\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,5,4,b4f5d62fc2115183888fb034dee36b18b260781f288959ecf60c346dd57b1c3a,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_5\training_seed_4\export_hash_b4f5d62fc211\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
DBLP,H6-node30,5,5,b4f5d62fc2115183888fb034dee36b18b260781f288959ecf60c346dd57b1c3a,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_controls\cache\DBLP\H6-node30\graph_seed_5\training_seed_5\export_hash_b4f5d62fc211\cache,False,True,,,,,,,,,,,,,,,,,False,official_sehgnn_intermediate_tensors_not_exposed,True
