dataset,baseline_name,graph_seed,training_seed,schema_compatible,keeps_all_target_nodes,official_hgb_exported,artifact_audit_pass,artifact_manifest_path,construction_status,selection_signal,export_hash,failure_type
DBLP,Random-HG-TP,1,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,959ae493c6cd8afb7239bc40e13a3c936eeabad6c6e394bcd1405bcaaa5d498e,
DBLP,Random-HG-TP,1,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,959ae493c6cd8afb7239bc40e13a3c936eeabad6c6e394bcd1405bcaaa5d498e,
DBLP,Random-HG-TP,1,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,959ae493c6cd8afb7239bc40e13a3c936eeabad6c6e394bcd1405bcaaa5d498e,
DBLP,Random-HG-TP,1,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,959ae493c6cd8afb7239bc40e13a3c936eeabad6c6e394bcd1405bcaaa5d498e,
DBLP,Random-HG-TP,1,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,959ae493c6cd8afb7239bc40e13a3c936eeabad6c6e394bcd1405bcaaa5d498e,
DBLP,Random-HG-TP,2,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,64045400750a5e06f565aa665c62a4ec70bcdaf91346dbefbf5d2663b854084f,
DBLP,Random-HG-TP,2,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,64045400750a5e06f565aa665c62a4ec70bcdaf91346dbefbf5d2663b854084f,
DBLP,Random-HG-TP,2,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,64045400750a5e06f565aa665c62a4ec70bcdaf91346dbefbf5d2663b854084f,
DBLP,Random-HG-TP,2,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,64045400750a5e06f565aa665c62a4ec70bcdaf91346dbefbf5d2663b854084f,
DBLP,Random-HG-TP,2,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,64045400750a5e06f565aa665c62a4ec70bcdaf91346dbefbf5d2663b854084f,
DBLP,Random-HG-TP,3,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,24c35945ea1fe1a703d025c43f866538f9f217a9ba5113a7abd80f6df3822e40,
DBLP,Random-HG-TP,3,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,24c35945ea1fe1a703d025c43f866538f9f217a9ba5113a7abd80f6df3822e40,
DBLP,Random-HG-TP,3,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,24c35945ea1fe1a703d025c43f866538f9f217a9ba5113a7abd80f6df3822e40,
DBLP,Random-HG-TP,3,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,24c35945ea1fe1a703d025c43f866538f9f217a9ba5113a7abd80f6df3822e40,
DBLP,Random-HG-TP,3,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,24c35945ea1fe1a703d025c43f866538f9f217a9ba5113a7abd80f6df3822e40,
DBLP,Random-HG-TP,4,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,c2acdaf4a6b87468f646f90d9c1299e971a9c7500d23089ae470379a986dc544,
DBLP,Random-HG-TP,4,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,c2acdaf4a6b87468f646f90d9c1299e971a9c7500d23089ae470379a986dc544,
DBLP,Random-HG-TP,4,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,c2acdaf4a6b87468f646f90d9c1299e971a9c7500d23089ae470379a986dc544,
DBLP,Random-HG-TP,4,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,c2acdaf4a6b87468f646f90d9c1299e971a9c7500d23089ae470379a986dc544,
DBLP,Random-HG-TP,4,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,c2acdaf4a6b87468f646f90d9c1299e971a9c7500d23089ae470379a986dc544,
DBLP,Random-HG-TP,5,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,a799a57d4e0a442033f2d9d71577d706867aae7e6360fbfc9d8d3597cf58f5ae,
DBLP,Random-HG-TP,5,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,a799a57d4e0a442033f2d9d71577d706867aae7e6360fbfc9d8d3597cf58f5ae,
DBLP,Random-HG-TP,5,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,a799a57d4e0a442033f2d9d71577d706867aae7e6360fbfc9d8d3597cf58f5ae,
DBLP,Random-HG-TP,5,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,a799a57d4e0a442033f2d9d71577d706867aae7e6360fbfc9d8d3597cf58f5ae,
DBLP,Random-HG-TP,5,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,a799a57d4e0a442033f2d9d71577d706867aae7e6360fbfc9d8d3597cf58f5ae,
DBLP,Random-HG-TP,1,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4bb3c30ab0972d46595f9165c36ac48c9078bf722a296fd9bcf9a466b54dbce9,
DBLP,Random-HG-TP,1,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4bb3c30ab0972d46595f9165c36ac48c9078bf722a296fd9bcf9a466b54dbce9,
DBLP,Random-HG-TP,1,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4bb3c30ab0972d46595f9165c36ac48c9078bf722a296fd9bcf9a466b54dbce9,
DBLP,Random-HG-TP,1,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4bb3c30ab0972d46595f9165c36ac48c9078bf722a296fd9bcf9a466b54dbce9,
DBLP,Random-HG-TP,1,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4bb3c30ab0972d46595f9165c36ac48c9078bf722a296fd9bcf9a466b54dbce9,
DBLP,Random-HG-TP,2,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,e7293c5651b2ed314a798300751620f6d61cdf386aefebd9bb2e8a75096d2b07,
DBLP,Random-HG-TP,2,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,e7293c5651b2ed314a798300751620f6d61cdf386aefebd9bb2e8a75096d2b07,
DBLP,Random-HG-TP,2,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,e7293c5651b2ed314a798300751620f6d61cdf386aefebd9bb2e8a75096d2b07,
DBLP,Random-HG-TP,2,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,e7293c5651b2ed314a798300751620f6d61cdf386aefebd9bb2e8a75096d2b07,
DBLP,Random-HG-TP,2,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,e7293c5651b2ed314a798300751620f6d61cdf386aefebd9bb2e8a75096d2b07,
DBLP,Random-HG-TP,3,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,ff96c57874c3292cbda4f8abd52dce33ffa73d9e4eb0ed4b3461a3771d84418d,
DBLP,Random-HG-TP,3,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,ff96c57874c3292cbda4f8abd52dce33ffa73d9e4eb0ed4b3461a3771d84418d,
DBLP,Random-HG-TP,3,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,ff96c57874c3292cbda4f8abd52dce33ffa73d9e4eb0ed4b3461a3771d84418d,
DBLP,Random-HG-TP,3,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,ff96c57874c3292cbda4f8abd52dce33ffa73d9e4eb0ed4b3461a3771d84418d,
DBLP,Random-HG-TP,3,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,ff96c57874c3292cbda4f8abd52dce33ffa73d9e4eb0ed4b3461a3771d84418d,
DBLP,Random-HG-TP,4,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,8a587d566b16d717e4e8b117c8898f580f1bc3430a29449a9e4fdf91f610c262,
DBLP,Random-HG-TP,4,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,8a587d566b16d717e4e8b117c8898f580f1bc3430a29449a9e4fdf91f610c262,
DBLP,Random-HG-TP,4,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,8a587d566b16d717e4e8b117c8898f580f1bc3430a29449a9e4fdf91f610c262,
DBLP,Random-HG-TP,4,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,8a587d566b16d717e4e8b117c8898f580f1bc3430a29449a9e4fdf91f610c262,
DBLP,Random-HG-TP,4,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,8a587d566b16d717e4e8b117c8898f580f1bc3430a29449a9e4fdf91f610c262,
DBLP,Random-HG-TP,5,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,16604f2412dddd6e62791278c88b3223efbc2eb6d235ffc72746f125b50cdb8b,
DBLP,Random-HG-TP,5,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,16604f2412dddd6e62791278c88b3223efbc2eb6d235ffc72746f125b50cdb8b,
DBLP,Random-HG-TP,5,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,16604f2412dddd6e62791278c88b3223efbc2eb6d235ffc72746f125b50cdb8b,
DBLP,Random-HG-TP,5,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,16604f2412dddd6e62791278c88b3223efbc2eb6d235ffc72746f125b50cdb8b,
DBLP,Random-HG-TP,5,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,16604f2412dddd6e62791278c88b3223efbc2eb6d235ffc72746f125b50cdb8b,
DBLP,Random-HG-TP,1,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,1a21633e6fd2cd5545d97572f948365d9589c2f0dbfd73e3ee2008ee93b4c218,
DBLP,Random-HG-TP,1,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,1a21633e6fd2cd5545d97572f948365d9589c2f0dbfd73e3ee2008ee93b4c218,
DBLP,Random-HG-TP,1,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,1a21633e6fd2cd5545d97572f948365d9589c2f0dbfd73e3ee2008ee93b4c218,
DBLP,Random-HG-TP,1,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,1a21633e6fd2cd5545d97572f948365d9589c2f0dbfd73e3ee2008ee93b4c218,
DBLP,Random-HG-TP,1,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,1a21633e6fd2cd5545d97572f948365d9589c2f0dbfd73e3ee2008ee93b4c218,
DBLP,Random-HG-TP,2,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4cbd8f07b2e5328279410ab08ba961290083a84a42c52590210af6a79af9bff6,
DBLP,Random-HG-TP,2,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4cbd8f07b2e5328279410ab08ba961290083a84a42c52590210af6a79af9bff6,
DBLP,Random-HG-TP,2,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4cbd8f07b2e5328279410ab08ba961290083a84a42c52590210af6a79af9bff6,
DBLP,Random-HG-TP,2,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4cbd8f07b2e5328279410ab08ba961290083a84a42c52590210af6a79af9bff6,
DBLP,Random-HG-TP,2,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4cbd8f07b2e5328279410ab08ba961290083a84a42c52590210af6a79af9bff6,
DBLP,Random-HG-TP,3,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,8bcd93a83e7b8ccf3e414e952075bbac47f914f59bb6794791697eca098ba67b,
DBLP,Random-HG-TP,3,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,8bcd93a83e7b8ccf3e414e952075bbac47f914f59bb6794791697eca098ba67b,
DBLP,Random-HG-TP,3,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,8bcd93a83e7b8ccf3e414e952075bbac47f914f59bb6794791697eca098ba67b,
DBLP,Random-HG-TP,3,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,8bcd93a83e7b8ccf3e414e952075bbac47f914f59bb6794791697eca098ba67b,
DBLP,Random-HG-TP,3,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,8bcd93a83e7b8ccf3e414e952075bbac47f914f59bb6794791697eca098ba67b,
DBLP,Random-HG-TP,4,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4e0aef5356e10cafa2ba824e8bd6fc774a24f57120c576613c60837c0e1b7748,
DBLP,Random-HG-TP,4,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4e0aef5356e10cafa2ba824e8bd6fc774a24f57120c576613c60837c0e1b7748,
DBLP,Random-HG-TP,4,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4e0aef5356e10cafa2ba824e8bd6fc774a24f57120c576613c60837c0e1b7748,
DBLP,Random-HG-TP,4,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4e0aef5356e10cafa2ba824e8bd6fc774a24f57120c576613c60837c0e1b7748,
DBLP,Random-HG-TP,4,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,4e0aef5356e10cafa2ba824e8bd6fc774a24f57120c576613c60837c0e1b7748,
DBLP,Random-HG-TP,5,1,True,True,False,True,,constructed_estimate,per-type seeded random support selection,d0c8c504bead0ae5597b44272067b266bd32294733a430f409295e859ce8dece,
DBLP,Random-HG-TP,5,2,True,True,False,True,,constructed_estimate,per-type seeded random support selection,d0c8c504bead0ae5597b44272067b266bd32294733a430f409295e859ce8dece,
DBLP,Random-HG-TP,5,3,True,True,False,True,,constructed_estimate,per-type seeded random support selection,d0c8c504bead0ae5597b44272067b266bd32294733a430f409295e859ce8dece,
DBLP,Random-HG-TP,5,4,True,True,False,True,,constructed_estimate,per-type seeded random support selection,d0c8c504bead0ae5597b44272067b266bd32294733a430f409295e859ce8dece,
DBLP,Random-HG-TP,5,5,True,True,False,True,,constructed_estimate,per-type seeded random support selection,d0c8c504bead0ae5597b44272067b266bd32294733a430f409295e859ce8dece,
DBLP,Herding-HG-TP,1,1,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,c72ae5dc7676379729c19ef984b228ae60bb02f96ce5ab91ffb1d2894cb0bf3e,
DBLP,Herding-HG-TP,1,2,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,c72ae5dc7676379729c19ef984b228ae60bb02f96ce5ab91ffb1d2894cb0bf3e,
DBLP,Herding-HG-TP,1,3,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,c72ae5dc7676379729c19ef984b228ae60bb02f96ce5ab91ffb1d2894cb0bf3e,
DBLP,Herding-HG-TP,1,4,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,c72ae5dc7676379729c19ef984b228ae60bb02f96ce5ab91ffb1d2894cb0bf3e,
DBLP,Herding-HG-TP,1,5,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,c72ae5dc7676379729c19ef984b228ae60bb02f96ce5ab91ffb1d2894cb0bf3e,
DBLP,Herding-HG-TP,2,1,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,bae9c82b678637a67312e08f0a54a273313d9cc25026fc1304ac79ebeb046399,
DBLP,Herding-HG-TP,2,2,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,bae9c82b678637a67312e08f0a54a273313d9cc25026fc1304ac79ebeb046399,
DBLP,Herding-HG-TP,2,3,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,bae9c82b678637a67312e08f0a54a273313d9cc25026fc1304ac79ebeb046399,
DBLP,Herding-HG-TP,2,4,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,bae9c82b678637a67312e08f0a54a273313d9cc25026fc1304ac79ebeb046399,
DBLP,Herding-HG-TP,2,5,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,bae9c82b678637a67312e08f0a54a273313d9cc25026fc1304ac79ebeb046399,
DBLP,Herding-HG-TP,3,1,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,4134386ee2741380164067ed75a1943afb681899f6560985cfae34b46c870e68,
DBLP,Herding-HG-TP,3,2,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,4134386ee2741380164067ed75a1943afb681899f6560985cfae34b46c870e68,
DBLP,Herding-HG-TP,3,3,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,4134386ee2741380164067ed75a1943afb681899f6560985cfae34b46c870e68,
DBLP,Herding-HG-TP,3,4,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,4134386ee2741380164067ed75a1943afb681899f6560985cfae34b46c870e68,
DBLP,Herding-HG-TP,3,5,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,4134386ee2741380164067ed75a1943afb681899f6560985cfae34b46c870e68,
DBLP,Herding-HG-TP,4,1,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,2741f2a13a6480c4349ebb9460b14c552742a017fd17986451c02c17eea0643e,
DBLP,Herding-HG-TP,4,2,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,2741f2a13a6480c4349ebb9460b14c552742a017fd17986451c02c17eea0643e,
DBLP,Herding-HG-TP,4,3,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,2741f2a13a6480c4349ebb9460b14c552742a017fd17986451c02c17eea0643e,
DBLP,Herding-HG-TP,4,4,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,2741f2a13a6480c4349ebb9460b14c552742a017fd17986451c02c17eea0643e,
DBLP,Herding-HG-TP,4,5,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,2741f2a13a6480c4349ebb9460b14c552742a017fd17986451c02c17eea0643e,
DBLP,Herding-HG-TP,5,1,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,f654a95631d5431c8884d0f30f3f8d93e0d16509c6439d6afb8b4b78e73510bd,
DBLP,Herding-HG-TP,5,2,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,f654a95631d5431c8884d0f30f3f8d93e0d16509c6439d6afb8b4b78e73510bd,
DBLP,Herding-HG-TP,5,3,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,f654a95631d5431c8884d0f30f3f8d93e0d16509c6439d6afb8b4b78e73510bd,
DBLP,Herding-HG-TP,5,4,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,f654a95631d5431c8884d0f30f3f8d93e0d16509c6439d6afb8b4b78e73510bd,
DBLP,Herding-HG-TP,5,5,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,f654a95631d5431c8884d0f30f3f8d93e0d16509c6439d6afb8b4b78e73510bd,
DBLP,Herding-HG-TP,1,1,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,203dd2605aff10b480103375e343b3879ef2cff0651704aaa36bf4040be3e022,
DBLP,Herding-HG-TP,1,2,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,203dd2605aff10b480103375e343b3879ef2cff0651704aaa36bf4040be3e022,
DBLP,Herding-HG-TP,1,3,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,203dd2605aff10b480103375e343b3879ef2cff0651704aaa36bf4040be3e022,
DBLP,Herding-HG-TP,1,4,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,203dd2605aff10b480103375e343b3879ef2cff0651704aaa36bf4040be3e022,
DBLP,Herding-HG-TP,1,5,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,203dd2605aff10b480103375e343b3879ef2cff0651704aaa36bf4040be3e022,
DBLP,Herding-HG-TP,2,1,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,8f976c9f7ebbdd63c803c5f701d090461d70f7aeb7352c91773439e8d8f854b3,
DBLP,Herding-HG-TP,2,2,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,8f976c9f7ebbdd63c803c5f701d090461d70f7aeb7352c91773439e8d8f854b3,
DBLP,Herding-HG-TP,2,3,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,8f976c9f7ebbdd63c803c5f701d090461d70f7aeb7352c91773439e8d8f854b3,
DBLP,Herding-HG-TP,2,4,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,8f976c9f7ebbdd63c803c5f701d090461d70f7aeb7352c91773439e8d8f854b3,
DBLP,Herding-HG-TP,2,5,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,8f976c9f7ebbdd63c803c5f701d090461d70f7aeb7352c91773439e8d8f854b3,
DBLP,Herding-HG-TP,3,1,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,47a2e6694c8bcf967b2be38062a3512884f1d87892ce1fe67b67707ec50c7521,
DBLP,Herding-HG-TP,3,2,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,47a2e6694c8bcf967b2be38062a3512884f1d87892ce1fe67b67707ec50c7521,
DBLP,Herding-HG-TP,3,3,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,47a2e6694c8bcf967b2be38062a3512884f1d87892ce1fe67b67707ec50c7521,
DBLP,Herding-HG-TP,3,4,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,47a2e6694c8bcf967b2be38062a3512884f1d87892ce1fe67b67707ec50c7521,
DBLP,Herding-HG-TP,3,5,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,47a2e6694c8bcf967b2be38062a3512884f1d87892ce1fe67b67707ec50c7521,
DBLP,Herding-HG-TP,4,1,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,421ac7f8c9b4f991077946a90a781b9a62a871b1b7d00a7794f50132dbe81d80,
DBLP,Herding-HG-TP,4,2,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,421ac7f8c9b4f991077946a90a781b9a62a871b1b7d00a7794f50132dbe81d80,
DBLP,Herding-HG-TP,4,3,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,421ac7f8c9b4f991077946a90a781b9a62a871b1b7d00a7794f50132dbe81d80,
DBLP,Herding-HG-TP,4,4,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,421ac7f8c9b4f991077946a90a781b9a62a871b1b7d00a7794f50132dbe81d80,
DBLP,Herding-HG-TP,4,5,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,421ac7f8c9b4f991077946a90a781b9a62a871b1b7d00a7794f50132dbe81d80,
DBLP,Herding-HG-TP,5,1,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,3695e3f4692fa73562874979b66d02ec9a52018a3c0d94af7c3c9fcfdfffee97,
DBLP,Herding-HG-TP,5,2,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,3695e3f4692fa73562874979b66d02ec9a52018a3c0d94af7c3c9fcfdfffee97,
DBLP,Herding-HG-TP,5,3,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,3695e3f4692fa73562874979b66d02ec9a52018a3c0d94af7c3c9fcfdfffee97,
DBLP,Herding-HG-TP,5,4,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,3695e3f4692fa73562874979b66d02ec9a52018a3c0d94af7c3c9fcfdfffee97,
DBLP,Herding-HG-TP,5,5,True,True,False,True,,constructed_estimate,per-type centroid herding with degree/profile fallback,3695e3f4692fa73562874979b66d02ec9a52018a3c0d94af7c3c9fcfdfffee97,
