dataset,method,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,total_node_ratio,total_edge_ratio,raw_hgb_text_byte_ratio,link_dat_bytes,node_dat_bytes,export_total_bytes,native_full_total_bytes,success,failure_type,failure_reason
ACM,Random-edge-relwise,structural_storage_ratio,0.12,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Degree-edge-relwise,structural_storage_ratio,0.5,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Degree-edge-relwise,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Degree-edge-relwise,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Degree-edge-relwise,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Degree-edge-relwise,structural_storage_ratio,0.12,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,structural_storage_ratio,0.5,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,structural_storage_ratio,0.12,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,structural_storage_ratio,0.5,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Random-edge-relwise,structural_storage_ratio,0.12,,,,,,,,,,,False,not_executed,"Random-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,structural_storage_ratio,0.5,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Degree-edge-relwise,structural_storage_ratio,0.12,,,,,,,,,,,False,not_executed,"Degree-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,structural_storage_ratio,0.5,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
IMDB,Proportional-relation-budget,structural_storage_ratio,0.12,,,,,,,,,,,False,not_executed,"Proportional-relation-budget at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Random-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,Random-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Random-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,Random-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Random-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,Random-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Random-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,Random-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Random-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,Random-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Herding-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,Herding-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Herding-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,Herding-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Herding-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,Herding-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Herding-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,Herding-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Herding-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,Herding-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,KCenter-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,KCenter-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,KCenter-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,KCenter-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,KCenter-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,KCenter-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,KCenter-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,GraphSparsify-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,GraphSparsify-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,GraphSparsify-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,GraphSparsify-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,GraphSparsify-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,GraphSparsify-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,GraphSparsify-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Coarsening-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,Coarsening-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Coarsening-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,Coarsening-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Random-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,Random-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Random-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,Random-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Random-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,Random-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Random-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,Random-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Random-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,Random-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Herding-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,Herding-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Herding-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,Herding-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Herding-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,Herding-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Herding-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,Herding-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Herding-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,Herding-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
ACM,KCenter-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,KCenter-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,KCenter-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,KCenter-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
ACM,KCenter-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,KCenter-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
ACM,KCenter-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
ACM,GraphSparsify-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,GraphSparsify-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,GraphSparsify-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,GraphSparsify-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
ACM,GraphSparsify-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,GraphSparsify-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
ACM,GraphSparsify-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Coarsening-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,Coarsening-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Coarsening-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,Coarsening-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Coarsening-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Coarsening-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
ACM,Coarsening-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Random-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,Random-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Random-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,Random-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Random-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,Random-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Random-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,Random-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Random-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,Random-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Herding-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,Herding-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Herding-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,Herding-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Herding-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,Herding-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Herding-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,Herding-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Herding-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,Herding-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,KCenter-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,KCenter-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,KCenter-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,KCenter-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,KCenter-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,KCenter-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,KCenter-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,KCenter-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,GraphSparsify-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,GraphSparsify-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,GraphSparsify-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,GraphSparsify-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,GraphSparsify-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,GraphSparsify-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,GraphSparsify-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,GraphSparsify-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Coarsening-HG-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,not_executed,Coarsening-HG-TP support_node_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Coarsening-HG-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,not_executed,Coarsening-HG-TP support_node_ratio=0.50 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Coarsening-HG-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.30 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Coarsening-HG-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.20 has no complete official SeHGNN 3x3 TP task result locally.
IMDB,Coarsening-HG-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,not_executed,Coarsening-HG-TP structural_storage_ratio=0.16 has no complete official SeHGNN 3x3 TP task result locally.
DBLP,FreeHGC-score-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
DBLP,FreeHGC-score-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
ACM,FreeHGC-score-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
ACM,FreeHGC-score-TP,support_node_ratio,0.5,,0.5,,,,,,,,,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
ACM,FreeHGC-score-TP,structural_storage_ratio,0.3,,,,,,,,,,,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
ACM,FreeHGC-score-TP,structural_storage_ratio,0.2,,,,,,,,,,,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
ACM,FreeHGC-score-TP,structural_storage_ratio,0.16,,,,,,,,,,,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
IMDB,FreeHGC-score-TP,support_node_ratio,0.3,,0.3,,,,,,,,,False,edge_provenance_missing,FreeHGC scoring artifacts do not expose original official HGB edge provenance needed to construct TP link.dat endpoints without a loader adapter.
