dataset,requested_structural_budget,channel_name,source_relation_names,candidate_keep_ratios,selected_keep_ratio,channel_cost_full,channel_cost_selected,validation_probe_delta_remove,validation_probe_delta_add_feedback,feature_redundancy_score,target_reachability_score,class_proxy_purity_score,marginal_utility_per_cost,selection_rank,selected_reason,selection_signal_source,uses_test_metrics_for_selection,uses_test_labels_for_selection,probe_seed,probe_cache_hash,method_family,validation_probe_source
DBLP,0.16,PT,paper-term,"[0.0, 0.05, 1.0]",0.0,0.21,0.0,0.0,-0.001,0.86,0.12,0.18,-2.0,5,suppressed by feature redundancy and near-zero validation delta,train_val_only,False,False,1,0ed776e1982bff1d8bf9bdaaac9aa5378bcdfc174ddb57ab6f6509306032f708,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.16,TP,term-paper,"[0.0, 0.05, 1.0]",0.0,0.1,0.0,0.0,-0.001,0.88,0.1,0.16,-2.4,6,suppressed by feature redundancy and near-zero validation delta,train_val_only,False,False,1,17420778c8cbec91c43a4cdbcf1bad8d18b536c78368d62e96fede525cf1694e,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.2,AP,author-paper,"[0.0, 1.0]",1.0,0.06,0.06,0.28,0.03,0.12,0.99,0.94,16.5,1,hard AP reachability bottleneck,train_val_only,False,False,1,8b332e8581989e705ea75d25bcbcf0e18af7d699157ddc37cc3b6a3cbdd0e329,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.2,PV,paper-venue,"[0.0, 1.0]",1.0,0.06,0.06,0.11,0.024,0.1,0.98,0.91,15.8,2,hard PV class-proxy bottleneck,train_val_only,False,False,1,3addbc8e06cc9b4ba6e331aec568322574d523dbe250fa2a43322019a83fdcb2,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.2,PA,paper-author,"[0.0, 0.5, 1.0]",0.5,0.04,0.02,0.012,0.006,0.35,0.42,0.62,3.1,3,budget-dependent feedback channel,train_val_only,False,False,1,55a38d5386eb86bfa34ae3a518d8840da3055446bffa97417e13b7846b7ecf8c,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.2,VP,venue-paper,"[0.0, 0.5, 1.0]",0.5,0.04,0.02,0.01,0.005,0.32,0.38,0.66,3.0,4,budget-dependent feedback channel,train_val_only,False,False,1,326e16a268e77e67073cd557ae78a021317772665fb0117bc3ba48b47cf758e8,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.2,PT,paper-term,"[0.0, 0.05, 1.0]",0.0,0.21,0.0,0.0,-0.001,0.86,0.12,0.18,-2.0,5,suppressed by feature redundancy and near-zero validation delta,train_val_only,False,False,1,68bef38b7c75f97fdb0de723c0919333aa77d473881ec2905a2e32f6c44e524a,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.2,TP,term-paper,"[0.0, 0.05, 1.0]",0.0,0.1,0.0,0.0,-0.001,0.88,0.1,0.16,-2.4,6,suppressed by feature redundancy and near-zero validation delta,train_val_only,False,False,1,53fade091ecc0507d3dbc7125a0a6043f7dfd4d05c2056383aaabc541c641019,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.3,AP,author-paper,"[0.0, 1.0]",1.0,0.06,0.06,0.28,0.03,0.12,0.99,0.94,16.5,1,hard AP reachability bottleneck,train_val_only,False,False,1,31e34b40b4f175dc2e5c6e65ef5734d9e684b7730cba6c9fe7c847c8fdea8e31,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.3,PV,paper-venue,"[0.0, 1.0]",1.0,0.06,0.06,0.11,0.024,0.1,0.98,0.91,15.8,2,hard PV class-proxy bottleneck,train_val_only,False,False,1,8fc9a656edc4f5bb8acc0a2fd0388fb773b34537edd941b7a167aefd67f7739b,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.3,PA,paper-author,"[0.0, 0.5, 1.0]",0.5,0.04,0.02,0.012,0.006,0.35,0.42,0.62,3.1,3,budget-dependent feedback channel,train_val_only,False,False,1,0115b149666055a0d081ce8bf1675b35cf31e66c01bd9d2f9c6c18d0444cd235,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.3,VP,venue-paper,"[0.0, 0.5, 1.0]",0.5,0.04,0.02,0.01,0.005,0.32,0.38,0.66,3.0,4,budget-dependent feedback channel,train_val_only,False,False,1,d7579f171a4ec1505f62c395b4ff5dd27b34a24b81c5985aac885be8bb6fea13,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.3,PT,paper-term,"[0.0, 0.05, 1.0]",0.0,0.21,0.0,0.0,-0.001,0.86,0.12,0.18,-2.0,5,suppressed by feature redundancy and near-zero validation delta,train_val_only,False,False,1,47a7998eda61ecc60f8ca4c8cee92c6af3a53a93e14c87283195782af0e96a52,budgeted_relation_channel_physical_planner,train_val_only
DBLP,0.3,TP,term-paper,"[0.0, 0.05, 1.0]",0.0,0.1,0.0,0.0,-0.001,0.88,0.1,0.16,-2.4,6,suppressed by feature redundancy and near-zero validation delta,train_val_only,False,False,1,bad445b389f71948d70a0b68debde2eba7d06818a3cff9d4d47ae51f3d97b839,budgeted_relation_channel_physical_planner,train_val_only
